surah,kazimirski_item_declared_num,classification,canonical_ayah_range,french_text,note
2,21,B,2:23,"C’est Dieu qui vous a donné la terre pour lit et qui a élevé les cieux comme un édifice au-dessus de vos têtes ; C’est lui qui fait descendre l’eau des cieux, qui par elle fait germer les fruits destinés à vous nourrir. Ne donnez donc point d’associés à Dieu. Vous le savez.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,22,B,2:24,"Si vous avez des doutes sur le livre que nous avons envoyé à notre serviteur, produisez un chapitre au moins pareil à ceux qu’il renferme, et appelez, si vous êtes sincères, vos témoins que vous invoquez à côté de Dieu.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,23,B,2:25,"Mais si vous ne le faites pas, et à coup sûr vous ne le ferez pas, redoutez le feu préparé pour les infidèles, le feu dont les hommes et les pierres seront l’aliment.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,24,B,2:26,"Annonce à ceux qui croient et qui pratiquent les bonnes œuvres, qu’ils auront pour demeure des jardins arrosés de courants d’eau. Chaque fois qu’ils prendront quelque nourriture des fruits de ces jardins, ils s’écrieront : Voilà les fruits dont nous nous nourrissions autrefois ; Mais ils n’en auront que l’apparence. Là, ils trouveront des femmes exemptes de toute souillure, et ils y demeureront éternellement.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,25,B,2:27,"Dieu ne rougit pas d’offrir en parabole soit un moucheron soit quelque autre objet plus relevé. Les croyants savent que c’est la vérité qui leur vient de leur Seigneur : mais les infidèles disent : Qu’est-ce donc que Dieu a voulu nous dire en nous proposant cette parabole ? Par de telles paraboles, il égare les uns et dirige les autres. -Non, il n’y aura d’égarés que les méchants,","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,26,B,2:28,"Les méchants, qui brisent le pacte du Seigneur conclu antérieurement, qui séparent ce que Dieu avait ordonné de conserver uni, qui commettent des désordres sur la terre : Ceux-là sont des malheureux.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,27,B,2:29,"Comment pouvez-vous être ingrats envers Dieu, vous qui étiez morts et à qui il a rendu la vie, envers Dieu qui vous fera mourir, qui plus tard vous fera revivre de nouveau, et auprès duquel vous retournerez un jour ?","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,28,B,2:30,"C’est lui qui a créé pour vous tout ce qui est sur la terre ; Cette œuvre terminée, il se porta avec fermeté vers le ciel et en forma avec toute la perfection sept cieux, lui qui s’entend en toutes choses.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,29,B,2:31,"Lorsque Dieu dit aux anges : Je vais établir un vicaire sur la terre, les anges répondirent : Vas-tu placer sur terre un être qui y commettra des désordres et répande le sang, pendant que nous célébrons tes louanges et te glorifions et proclamons sans cesse ta sainteté ? —Je sais, répondit le Seigneur, ce que vous ne savez pas.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,30,B,2:32,"Dieu apprit à Adam les noms de tous les êtres, puis, les amenant devant les anges, il leur dit : Nommez-les-moi, si vous êtes sincères.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,31,B,2:33,"Loué soit ton nom ! Répondirent les anges ; nous ne possédons d’autre science que celle que tu nous as enseignée ; tu es le savant, le sage.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,32,B,2:34,"Dieu dit à Adam : Apprends-leur les noms de tous les êtres et lorsqu’il (Adam) l’eut fait, le Seigneur dit : Ne vous ai-je pas dit que je connais le secret des cieux et de la terre, ce que vous produisez au grand jour et ce que vous cachez ?","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,33,B,2:35,"Lorsque nous ordonnâmes aux anges d’adorer Adam, ils l’adorèrent tous, excepté Eblis ; Celui-ci s’y refusa et s’enfla d’orgueil, et il fut du nombre des ingrats.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,34,B,2:36,"Nous dîmes à Adam : Habite le jardin avec ton épouse ; nourrissez-vous abondamment de ses fruits, de quelque côté du jardin qu’ils se trouvent ; seulement n’approchez pas de l’arbre que voici, de peur que vous ne deveniez coupables.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,35,B,2:37,"Satan a fait glisser leur pied et les a fait bannir du lieu où ils se trouvaient. Nous leur dîmes alors : Descendez de ce lieu ; ennemis les uns des autres, la terre vous servira de demeure et d’usufruit temporaire.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,36,B,2:38,Adam apprit de son Seigneur des paroles de prière ; Dieu revint à lui ; il aime à revenir à l’homme qui se repent ; il est miséricordieux.,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,37,B,2:39,"Nous leur dîmes : Sortez du paradis tous tant que vous êtes ; un livre destiné à vous diriger vous viendra de ma part ; la crainte n’atteindra jamais ceux qui le suivront, et ils ne seront point affligés.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,38,C,2:40-2:41,"Mais ceux qui ne croiront pas, qui traiteront nos signes de mensonge, seront livrés au feu éternel.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,39,B,2:42,"Ô enfants d’Israël ! Souvenez-vous des bienfaits dont je vous ai comblés, soyez fidèles à mon alliance, et je serai fidèle à la vôtre ; Révérez-moi, et croyez au livre que j’ai envoyé pour corroborer vos Écritures ; ne soyez pas les premiers à lui refuser votre croyance ; n’allez point acheter avec mes signes un objet de nulle valeur. Craignez-moi.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,40,B,2:43,Ne revêtez pas la vérité de la robe du mensonge ; Ne cachez point la vérité quand vous la connaissez.,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,41,B,2:44,"Acquittez-vous exactement de la prière, faites l’aumône, et courbez-vous avec ceux qui se courbent devant moi.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,42,B,2:45,Commanderez-vous les bonnes actions aux autres pendant que vous vous oublierez vous-mêmes ? Vous lisez cependant le livre ; ne comprendrez-vous donc jamais ?,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,43,B,2:46,"Appelez à votre aide la patience et la prière ; la prière est une charge, mais non pas pour les humbles,","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,44,B,2:47,Qui pensent qu’un jour ils reverront leur Seigneur et qu’ils retourneront auprès de lui.,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,45,B,2:48,"Ô enfants d’Israël, souvenez-vous des bienfaits dont je vous ai comblés, souvenez-vous que je vous ai élevés au-dessus de tous les humains.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,46,B,2:49,"Redoutez le jour où une âme ne satisfera point en quoique ce soit pour une autre âme, où aucune intercession ne sera acceptée de sa part, où aucune compensation ne sera reçue d’elle, où les méchants ne seront point secourus.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,47,B,2:50,Souvenez-vous que nous vous avons délivrés de la famille de Pharaon qui vous infligeait de cruels supplices ; on immolait vos fils et l’on n’épargnait que vos filles. C’était une rude épreuve de la part de votre Seigneur.,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,48,B,2:51,"Souvenez-vous du jour où nous avons fendu la mer pour vous, où nous vous avons sauvés, et noyé Pharaon sous vos yeux.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,49,B,2:52,"Du jour où nous formions notre alliance avec Moïse pendant quarante nuits ; vous avez pris, pendant son absence, un veau pour objet de votre adoration et vous avez agi iniquement.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,50,B,2:53,"Nous vous pardonnâmes ensuite, afin que vous nous soyez reconnaissants.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,51,B,2:54,"Nous donnâmes à Moïse le livre et la distinction, afin que vous soyez dirigés dans la droite voie.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,52,B,2:55,"Moïse dit à son peuple : Vous avez agi iniquement envers vous-mêmes en adorant le veau. Revenez à votre créateur, ou bien donnez-vous la mort ; ceci vous servira mieux auprès de lui. Il reviendra à vous (il vous pardonnera), car il aime à revenir vers celui qui se repent ; il est miséricordieux.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,53,B,2:56,"Souvenez-vous du jour où vous dites alors à Moïse : Ô Moïse, nous ne t’accorderons aucune créance avant que nous ayons vu Dieu clairement. Le feu du ciel vous frappa pendant que vous y portiez vos regards.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,54,B,2:57,"Nous vous ressuscitâmes après votre mort, afin que vous soyez reconnaissants","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,55,B,2:58,"Nous fîmes planer un nuage sur vos têtes, et nous vous envoyâmes la manne et les cailles, en vous disant : Mangez des mets délicieux que nous vous avons accordés. Ce n’est pas à nous qu’ils avaient fait du mal, c’est à eux-mêmes.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,56,B,2:59,"Souvenez-vous du jour où nous dîmes aux Israélites : Entrez dans cette ville, jouissez des biens qui s’y trouvent, au gré de vos désirs ; mais, en entrant dans la ville, prosternez-vous, et dites : Indulgence, ô Seigneur ! et il vous pardonnera vos péchés. Certes, nous comblerons les bons de nos faveurs.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,57,B,2:60,"Mais les méchants d’entre eux substituèrent à la parole qui leur avait été indiquée, une autre parole, et nous fîmes descendre du ciel un châtiment comme rétribution de leur perfidie.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,58,B,2:61,"Moïse demanda à Dieu de l’eau pour désaltérer son peuple, et nous lui dîmes : Frappe le rocher de ta baguette. Tout d’un coup jaillirent douze sources, et chaque tribu connut aussitôt le lieu où elle devait se désaltérer. Nous dîmes aux enfants d’Israël : Mangez et buvez des biens que Dieu vous dispense, et n’agissez pas avec violence en vous livrant à toutes sortes de désordres dans ce pays.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,59,B,2:62,"C’est alors que vous dîtes : Ô Moïse ! nous ne pouvons supporter plus longtemps une seule et même nourriture ; prie ton Seigneur qu’il fasse pousser pour nous de ces produits de la terre, des légumes, des concombres, des lentilles, de l’ail et des oignons. Moïse vous répondit : Voulez-vous échanger ce qui est bon contre ce qui est mauvais ? Eh bien ! Rentrez en Égypte, vous y trouverez ce que vous demandez. Et l’avilissement et la pauvreté s’étendirent sur eux, et ils s’attirèrent la colère de Dieu, parce qu’ils ne croyaient point à ses signes et mettaient injustement à mort leurs prophètes. Voilà quelle fut la rétribution de leur révolte et de leurs violences.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,60,B,2:63,"Certes, ceux qui croient, et ceux qui suivent la religion juive, et les chrétiens, et les sabéens, en un mot quiconque croit en Dieu et au jour dernier et qui aura fait le bien : tous ceux-là recevront une récompense de leur Seigneur ; la crainte ne descendra point sur eux, et ils ne seront point affligés.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,61,C,2:64-2:65,"Souvenez-vous du jour où nous acceptâmes votre alliance et où nous élevâmes au-dessus de vos têtes le mont Sinaï, nous dîmes alors : Recevez avec fermeté les lois que nous vous donnons, et souvenez-vous de ce qu’elles contiennent. Peut-être craindrez-vous Dieu.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,62,B,2:66,"Mais vous vous en êtes éloignés dans la suite, et, n’était la grâce de Dieu et sa miséricorde, vous auriez été du nombre des malheureux. Vous avez déjà su qui étaient ceux qui avaient violé le sabbat et à qui nous dîmes : Soyez changés en singes refoulés vers le rivage de la mer.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,63,C,2:67-2:68,"Et nous les fîmes servir d’exemple terrible à leurs contemporains, à leurs descendants, et d’avertissement à tous ceux qui craignent.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,64,B,2:69,"Souvenez-vous du jour où Moïse dit à son peuple : Dieu vous ordonne d’immoler une vache ; les Israélites s’écrièrent : Est-ce que tu te moques de nous - Que Dieu me préserve, dit-il, d’être du nombre des insensés ! — Prie ton Seigneur, répondirent les Israélites, de nous expliquer clairement quelle doit être cette vache. — Dieu veut, dit-il, que ce ne soit ni une vache vieille ni une génisse, mais qu’elle soit d’un âge moyen. Faites donc ce qui vous est ordonné.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,65,B,2:70,"Les Israélites ajoutèrent : Prie ton Seigneur de nous expliquer clairement quelle doit être sa couleur - Dieu veut, leur dit Moïse, qu’elle soit d’un jaune très prononcé, d’une couleur qui réjouisse l’œil de quiconque la verra.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,66,B,2:71,"Prie ton Seigneur de nous expliquer clairement quelle doit être cette vache, car nous trouvons bien des vaches qui se ressemblent, et nous ne serons bien dirigés dans notre choix que si Dieu le veut.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,67,B,2:72,"- Dieu vous dit, reprit Moïse, que ce ne soit pas une vache fatiguée par le labourage ou l’arrosement des champs, mais une vache dont le mâle n’aura jamais approché ; qu’elle soit sans aucune tache. — Maintenant, dit le peuple, tu nous as dit la vérité. — Ils immolèrent la vache, et cependant peu s’en fallut qu’ils ne l’eussent point fait.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,68,B,2:73,Rappelez-vous ce meurtre qui a été commis sur un homme d’entre vous ; ce meurtre était l’objet de vos disputes. Dieu fit voir au grand jour ce que vous cachiez.,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,69,B,2:74,Nous ordonnâmes de frapper le mort avec un des membres de la vache ; c’est ainsi que Dieu ressuscite les morts et fait briller à vos yeux ses miracles ; peut-être finirez-vous par comprendre.,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,70,B,2:75,"Vos cœurs se sont endurcis depuis ; ils sont comme des rochers, et plus durs encore, car des rochers coulent des torrents ; les rochers se fendent et font jaillir l’eau ; il y en a qui s’affaissent par la crainte de Dieu, et certes Dieu n’est pas inattentif à vos actions.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,71,B,2:76,"Désirez-vous maintenant, Ô musulmans ! Qu’ils (les Israélites de ce temps-ci) deviennent croyants pour vous (pour vous plaire) ? Un certain nombre d’entre eux cependant obéissaient à la parole de Dieu, mais par la suite ils l’altérèrent après l’avoir comprise, et ils le savaient bien.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,72,B,2:77,"S’ils rencontrent les fidèles, ils disent : Nous croyons ; mais, aussitôt qu’ils se voient seuls entre eux, ils disent : Raconterez-vous aux musulmans ce que Dieu vous a révélé, afin qu’ils s’en fassent un argument contre vous devant votre Seigneur ? Ne comprenez-vous pas à quoi cela aboutit ?","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,73,C,2:78-2:79,Ignorent-ils donc que le Très-Haut sait ce qu’ils cachent comme ce qu’ils produisent au grand jour ?,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,74,B,2:80,"Parmi eux les hommes du commun ne connaissent pas le livre (le Pentateuque), mais seulement les contes mensongers, et ils n’ont que des idées vagues. Malheur à ceux qui, écrivant le livre de leurs mains corruptrices, disent : Voilà ce qui vient de Dieu, pour en retirer un bénéfice infime ! Malheur à eux, à cause de ce que leurs mains ont écrit, et à cause du gain qu’ils en retirent !","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,75,B,2:81,"Ils disent : Si le feu nous atteint, ce ne sera que pour un petit nombre de jours. Dis-leur : En avez-vous reçu de Dieu un engagement qu’il ne révoquera jamais ou bien dites-vous simplement au sujet de Dieu ce que vous ne savez pas ?","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,76,B,2:82,"Bien loin de là : Ceux qui n’ont pour tout gain que leurs mauvaises actions, ceux que leurs péchés enveloppent de toutes parts, ceux-là seront voués au feu, et ils y demeureront éternellement.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,77,B,2:83,"Mais ceux qui ont cru et fait le bien, ceux-là seront en possession du paradis et y séjourneront éternellement.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,78,B,2:84,"Quand nous reçûmes l’alliance des enfants d’Israël, nous leur dîmes : N’adorez qu’un seul Dieu ; tenez une belle conduite envers vos pères et mères, envers vos proches, envers les orphelins et les pauvres ; n’ayez que des paroles de bonté pour tous les hommes ; acquittez-vous exactement de la prière ; donnez l’aumône. Excepté un petit nombre, vous vous êtes montrés récalcitrants, et vous vous êtes détournés de nos commandements.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,79,B,2:85,"Quand nous stipulâmes avec vous que vous ne verseriez point le sang de vos frères, et que vous ne vous banniriez point réciproquement de votre pays, vous y donnâtes votre assentiment, et vous en fûtes vous-mêmes témoins.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,80,B,2:86,"Malgré cela vous commettiez des meurtres entre vous, vous chassiez une partie d’entre vous de votre pays, vous vous prêtiez une assistance mutuelle pour les accabler d’injures et d’oppression ; mais s’il vous vient des captifs (de vos compatriotes), vous les rachetez. Or il vous était d’abord défendu de les chasser de leur pays. Croirez-vous donc à une partie de votre livre, et en rejetterez-vous une autre ? Et quelle sera la récompense de ceux qui agissent de la sorte ? L’ignominie dans ce monde, et au jour de la résurrection ils seront refoulés vers le plus cruel des châtiments. Et certes Dieu n’est pas inattentif à vos actions.","ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
2,81,B,2:87,Ceux qui achètent la vie de ce monde au prix de la vie future n’éprouveront aucun soulagement dans le châtiment qui les attend et ne seront point secourus.,"ACTUAL li count (287) != declared/Flugel count (286); indices below are DECLARED/Flugel-numbering-based, not necessarily actual li position after the point of internal divergence"
